setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
200,2,0.125,0,0,0,0.985,0.99
200,2,0.125,0,1,0,0,0.99
200,2,0.125,0,0,1,0.985,0.99
200,2,0.125,0,1,1,0,0.99
200,2,0.25,0,0,0,1.22,0.99
200,2,0.25,0,1,0,0,0.99
200,2,0.25,0,0,1,0.985,0.99
200,2,0.25,0,1,1,0.005,0.99
200,2,0.5,0,0,0,1.215,0.99
200,2,0.5,0,1,0,0,0.99
200,2,0.5,0,0,1,0.985,0.99
200,2,0.5,0,1,1,0,0.99
200,2,1,0,0,0,1.165,0.99
200,2,1,0,1,0,0,0.99
200,2,1,0,0,1,0.985,0.99
200,2,1,0,1,1,0,0.99
200,1,0.015625,0,0,0,0,0.995
200,1,0.015625,0,1,0,0,0.995
200,1,0.015625,0,0,1,0,0.995
200,1,0.015625,0,1,1,0,0.995
200,1,0.03125,0,0,0,0,0.995
200,1,0.03125,0,1,0,0,0.995
200,1,0.03125,0,0,1,0,0.995
200,1,0.03125,0,1,1,0,0.995
200,1,0.0625,0,0,0,0,0.995
200,1,0.0625,0,1,0,0,0.995
200,1,0.0625,0,0,1,0,0.995
200,1,0.0625,0,1,1,0,0.995
200,1,0.125,0,0,0,0,0.995
200,1,0.125,0,1,0,0,0.995
200,1,0.125,0,0,1,0,0.995
200,1,0.125,0,1,1,0,0.995
200,1,0.25,0,0,0,0,0.995
200,1,0.25,0,1,0,0,0.995
200,1,0.25,0,0,1,0,0.995
200,1,0.25,0,1,1,0,0.995
200,1,0.5,0,0,0,0,0.995
200,1,0.5,0,1,0,0,0.995
200,1,0.5,0,0,1,0,0.995
200,1,0.5,0,1,1,0,0.995
200,1,1,0,0,0,0,0.995
200,1,1,0,1,0,0,0.995
200,1,1,0,0,1,0,0.995
200,1,1,0,1,1,0,0.995
200,6,0.015625,1,0,0,171.925,0.9875
200,6,0.015625,1,1,0,16.765,0.9875
200,6,0.015625,1,0,1,111.545,0.9875
200,6,0.015625,1,1,1,16.51,0.9875
200,6,0.03125,1,0,0,135.5,0.9875
200,6,0.03125,1,1,0,12.42,0.9875
200,6,0.03125,1,0,1,83.3,0.9875
200,6,0.03125,1,1,1,12.35,0.9875
200,6,0.0625,1,0,0,408.675,0.988333
200,6,0.0625,1,1,0,9.115,0.988333
200,6,0.0625,1,0,1,80.765,0.988333
200,6,0.0625,1,1,1,9.02,0.988333
200,6,0.125,1,0,0,1032.24,0.988333
200,6,0.125,1,1,0,8.04,0.988333
200,6,0.125,1,0,1,592.02,0.988333
200,6,0.125,1,1,1,8.065,0.988333
200,6,0.25,1,0,0,796.15,0.988333
